"KO","STN","Pvalue","30L1","30L2","30L3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","30R1_log","30R2_log","30R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"K00003",-2.93581343829131,0.000400326797385621,0,0,0,19.246,20.959,15.464,"Homoserine dehydrogenase","homoserine dehydrogenase","Homoserine dehydrogenase","","GO:0009086;GO:0009088;GO:0009097;GO:0004412;GO:0050661;GO:0006520;GO:0016491","methionine biosynthetic process;threonine biosynthetic process;isoleucine biosynthetic process;homoserine dehydrogenase activity;NADP binding;amino acid metabolic process;oxidoreductase activity","homoserine dehydrogenase ",0,0,0,4.33956499793686,4.45674045123912,4.04124298223188,18.5563333333333,0,4.27918281046929,0,-4.27918281046929,3.39758533778103,"Downregulated"
"K00030",-2.19135992717078,0.0012156862745098,14.783,8.4554,21.474,33.681,34.059,32.033,"Isocitrate dehydrogenase [NADP]","NADP-dependent isocitrate dehydrogenase","","","GO:0006099;GO:0000287;GO:0004450;GO:0051287;GO:0016616","tricarboxylic acid cycle;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","isocitrate dehydrogenase (NAD+) ",3.98029955079386,3.24113849104758,4.49018501809594,5.11607359305037,5.13171294108133,5.04583609353236,33.2576666666667,14.9041333333333,5.09787420922136,3.90387435331246,-1.1939998559089,2.91517848659968,"Downregulated"
"K00033",-1.85252883772529,0.00218137254901961,4.9277,0,0,9.6231,20.086,9.9412,"6-phosphogluconate dehydrogenase, decarboxylating","NADP-dependent phosphogluconate dehydrogenase","","","GO:0006098;GO:0004616;GO:0050661;GO:0016491","pentose-phosphate shunt;phosphogluconate dehydrogenase (decarboxylating) activity;NADP binding;oxidoreductase activity","6-phosphogluconate dehydrogenase ",2.56747243491361,0,0,3.40913292524873,4.39821353769628,3.45169907242434,13.2167666666667,1.64256666666667,3.75301517845645,0.855824144971202,-2.89719103348525,2.66127015644497,"Downregulated"
"K00052",-2.74415495304796,0.00044281045751634,0,0,0,17.322,16.593,17.673,"3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","","","GO:0009098;GO:0000287;GO:0003862;GO:0051287;GO:0016616","leucine biosynthetic process;magnesium ion binding;3-isopropylmalate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3-isopropylmalate dehydrogenase ",0,0,0,4.19550508918433,4.13692961044789,4.2228818241349,17.196,0,4.18510550792237,0,-4.18510550792237,3.35378213127116,"Downregulated"
"K00053",-3.51984655148497,0.000277777777777778,16.754,18.119,16.593,52.927,51.525,44.183,"Ketol-acid reductoisomerase (NADP(+))","ketol-acid reductoisomerase","","","GO:0009082;GO:0004455;GO:0050661;GO:0016491","branched-chain amino acid biosynthetic process;ketol-acid reductoisomerase activity;NADP binding;oxidoreductase activity","ketol-acid reductoisomerase ",4.15007219725299,4.25693516147121,4.13692961044789,5.75293587274645,5.71493235178568,5.49770815892146,49.545,17.1553333333333,5.65519212781786,4.18131232305736,-1.4738798047605,3.55630250076729,"Downregulated"
"K00059",-2.22974059956071,0.0011062091503268,0,0,0,12.51,13.099,15.464,"3-oxoacyl-[acyl-carrier-protein] reductase","3-oxoacyl-[acyl-carrier-protein] reductase","","","GO:0006633;GO:0004316;GO:0051287;GO:0016491","fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NAD binding;oxidoreductase activity","3-oxoacyl- reductase ",0,0,0,3.75595576955096,3.81752093508571,4.04124298223188,13.691,0,3.87157322895618,0,-3.87157322895618,2.95616275346042,"Downregulated"
"K00161",-2.66515733796911,0.000467320261437909,0,0,0,16.359,19.213,14.359,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","","","GO:0006086;GO:0004739;GO:0043231;GO:0016624","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;intracellular membrane-bounded organelle;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","pyruvate dehydrogenase E1 component alpha subunit ",0,0,0,4.11761193572305,4.33721155633391,3.94101238243044,16.6436666666667,0,4.1319452914958,0,-4.1319452914958,3.33038538901652,"Downregulated"
"K00228",-2.82276247355254,0.000415032679738562,10.841,10.871,8.7846,35.605,33.185,28.719,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",3.56571901995217,3.56936956603177,3.29051287386569,5.19396881942197,5.09529152021173,4.8933136670454,32.503,10.1655333333333,5.06085800222637,3.47520048661654,-1.58565751560982,3.38191770552562,"Downregulated"
"K00254",-2.01970290784159,0.00152941176470588,0,0,0,13.472,11.353,12.15,"Dihydroorotate dehydrogenase (quinone)","quinone-dependent dihydroorotate dehydrogenase","","","GO:0006207;GO:0004152;GO:0005737;GO:0016020;GO:0016627","'de novo' pyrimidine nucleobase biosynthetic process;dihydroorotate dehydrogenase activity;cytoplasm;membrane;oxidoreductase activity, acting on the CH-CH group of donors","dihydroorotate dehydrogenase ",0,0,0,3.85519240795915,3.62678954637581,3.71699089440494,12.325,0,3.73299094957997,0,-3.73299094957997,2.81547557340746,"Downregulated"
"K00284",-3.77932637350386,3.26797385620915e-05,0,0,0,25.02,29.692,19.882,"Ferredoxin-dependent glutamate synthase 2","glutamate synthase large subunit","","","GO:0006537;GO:0015930;GO:0006807;GO:0016491;GO:0016638","glutamate biosynthetic process;glutamate synthase activity;nitrogen compound metabolic process;oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors","glutamate synthase (ferredoxin) ",0,0,0,4.70154905694307,4.93979075490058,4.38418798935749,24.8646666666667,0,4.67517593373371,0,-4.67517593373371,4.48572142648158,"Downregulated"
"K00324",-2.65775858563382,0.000472222222222222,8.8698,0,0,25.982,22.706,15.464,"NAD(P) transhydrogenase subunit alpha part 1","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Re/Si-specific NAD transhydrogenase subunit alpha","","GO:0016491","oxidoreductase activity","H+-translocating NAD(P) transhydrogenase subunit alpha ",3.30302085044341,0,0,4.75392538472808,4.56718034703674,4.04124298223188,21.384,2.9566,4.4541162379989,1.1010069501478,-3.3531092878511,3.32585357938901,"Downregulated"
"K00366",-7.57843085379046,1e-06,20.696,19.327,13.665,102,89.95,102.73,"Sulfite reductase [ferredoxin]","ferredoxin--nitrite reductase","","","GO:0016491;GO:0020037;GO:0051536","oxidoreductase activity;heme binding;iron-sulfur cluster binding","ferredoxin-nitrite reductase ",4.43935717847426,4.34532540281514,3.87430516598223,6.68650052718322,6.50700173276412,6.69668938953767,98.2266666666667,17.896,6.63006388316167,4.21966258242388,-2.41040130073779,6,"Downregulated"
"K00392",-2.87603532926335,0.000400326797385621,0,0,0,17.322,22.706,14.359,"Sulfite reductase [ferredoxin]","MAG: sulfite reductase subunit beta","","","GO:0020037;GO:0050311;GO:0051539;GO:0016491;GO:0051536","heme binding;sulfite reductase (ferredoxin) activity;4 iron, 4 sulfur cluster binding;oxidoreductase activity;iron-sulfur cluster binding","sulfite reductase (ferredoxin) ",0,0,0,4.19550508918433,4.56718034703674,3.94101238243044,18.129,0,4.2345659395505,0,-4.2345659395505,3.39758533778103,"Downregulated"
"K00514",-1.84321626946315,0.00233496732026144,0,0,0,10.585,13.099,9.9412,"15-cis-phytoene desaturase","9,9'-di-cis-zeta-carotene desaturase","Zeta-carotene desaturase","zds","GO:0016117;GO:0016719;GO:0016491","carotenoid biosynthetic process;carotene 7,8-desaturase activity;oxidoreductase activity","zeta-carotene desaturase ",0,0,0,3.5341861390901,3.81752093508571,3.45169907242434,11.2084,0,3.60113538220005,0,-3.60113538220005,2.63171919335459,"Downregulated"
"K00600",-3.02760197186373,0.000400326797385621,12.812,14.495,11.713,43.304,34.932,37.556,"Serine hydroxymethyltransferase","serine hydroxymethyltransferase","","","GO:0019264;GO:0035999;GO:0004372;GO:0030170;GO:0003824","glycine biosynthetic process from serine;tetrahydrofolate interconversion;glycine hydroxymethyltransferase activity;pyridoxal phosphate binding;catalytic activity","glycine hydroxymethyltransferase ",3.7878503341913,3.95373084981149,3.66823261102206,5.46936505370484,5.16719733386726,5.26888348153048,38.5973333333333,13.0066666666667,5.30181528970086,3.80327126500828,-1.49854402469258,3.39758533778103,"Downregulated"
"K00602",-4.41434402057282,3.26797385620915e-05,3.9422,0,4.8803,35.605,36.678,32.033,"Bifunctional purine biosynthesis protein PurH","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","","","GO:0006164;GO:0003937;GO:0004643;GO:0003824","purine nucleotide biosynthetic process;IMP cyclohydrolase activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity;catalytic activity","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ",2.30515339455375,0,2.55588976007382,5.19396881942197,5.23565048163581,5.04583609353236,34.772,2.94083333333333,5.15848513153005,1.62034771820919,-3.53813741332086,4.48572142648158,"Downregulated"
"K00615",-5.8857964581406,1e-06,8.8698,8.4554,5.8564,59.663,62.877,53.02,"Transketolase","transketolase","","","GO:0004802;GO:0003824","transketolase activity;catalytic activity","transketolase ",3.30302085044341,3.24113849104758,2.77745127823436,5.92274494098827,5.9972246526779,5.75542173473424,58.52,7.7272,5.89179710946681,3.10720353990845,-2.78459356955835,6,"Downregulated"
"K00627",-2.49543124445129,0.000506535947712418,9.8554,0,11.713,26.945,27.946,23.196,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","2-oxo acid dehydrogenase subunit E2","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex","","GO:0006086;GO:0016746;GO:0045254","acetyl-CoA biosynthetic process from pyruvate;acyltransferase activity;pyruvate dehydrogenase complex","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) ",3.44034098227608,0,3.66823261102206,4.80451826988807,4.85529209322718,4.59669666068723,26.029,7.18946666666667,4.75216900793416,2.36952453109938,-2.38264447683478,3.29538972831129,"Downregulated"
"K00645",-1.86787790206729,0.00213071895424837,0,0,0,10.585,11.353,12.15,"Malonyl CoA-acyl carrier protein transacylase","ACP S-malonyltransferase","","","GO:0004314;GO:0016740","[acyl-carrier-protein] S-malonyltransferase activity;transferase activity"," S-malonyltransferase ",0,0,0,3.5341861390901,3.62678954637581,3.71699089440494,11.3626666666667,0,3.62598885995695,0,-3.62598885995695,2.67147383074966,"Downregulated"
"K00648",-1.67158467577762,0.0041062091503268,10.841,7.2475,0,18.284,18.339,16.569,"3-oxoacyl-[acyl-carrier-protein] synthase 3","ketoacyl-ACP synthase III","3-oxoacyl-[acyl-carrier-protein] synthase 3","fabH","GO:0006633;GO:0004315;GO:0033818;GO:0005737;GO:0016746","fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] synthase activity;beta-ketoacyl-acyl-carrier-protein synthase III activity;cytoplasm;acyltransferase activity","3-oxoacyl- synthase III ",3.56571901995217,3.04395687279021,0,4.26933242973416,4.27344129133912,4.13496017262534,17.7306666666667,6.0295,4.22591129789954,2.20322529758079,-2.02268600031875,2.38655893355299,"Downregulated"
"K00703",-3.30462315809278,0.00032843137254902,6.8988,8.4554,9.7607,32.718,33.185,36.451,"Glycogen synthase","glycogen synthase GlgA","","","GO:0004373;GO:0016757","glycogen (starch) synthase activity;glycosyltransferase activity","starch synthase ",2.98163349309373,3.24113849104758,3.42770002535444,5.07544705952874,5.09529152021173,5.22693233628914,34.118,8.37163333333333,5.13255697200987,3.21682400316525,-1.91573296884462,3.48355536472507,"Downregulated"
"K00759",-1.42100298389979,0.00687418300653595,4.9277,0,7.8086,10.585,13.099,16.569,"Adenine phosphoribosyltransferase","adenine phosphoribosyltransferase","","","GO:0006168;GO:0003999;GO:0005737","adenine salvage;adenine phosphoribosyltransferase activity;cytoplasm","adenine phosphoribosyltransferase ",2.56747243491361,0,3.13891274178409,3.5341861390901,3.81752093508571,4.13496017262534,13.4176666666667,4.24543333333333,3.82888908226705,1.90212839223257,-1.92676069003448,2.16277891012856,"Downregulated"
