"KO","KOName","comparison","annot"
"K00228","coproporphyrinogen III oxidase ","27Lvs27R,30Lvs27R","Chlorophyll"
"K02097","phycobilisome core component","30Lvs27R","PBS"
"K02287","phycocyanin-associated, rod","30Lvs30R,30Lvs27R","PBS"
"K02492","glutamyl-tRNA reductase ","30Lvs27R","Chlorophyll"
"K02635","cytochrome b6","30Lvs27R","ETC"
"K02636","cytochrome b6-f complex iron-sulfur subunit ","30Lvs30R","ETC"
"K02694","photosystem I subunit III","27Lvs27R","PSI"
"K03403","magnesium chelatase subunit H ","27Lvs27R,30Lvs27R","Chlorophyll"
"K03404","magnesium chelatase subunit D ","27Lvs27R,30Lvs27R","Chlorophyll"
"K04755","ferredoxin, 2Fe-2S","27Lvs27R","ETC"
"K05382","phycoerythrin-associated linker protein","27Lvs27R,30Lvs27R","PBS"
"K10960","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ","27Lvs27R,30Lvs30R,30Lvs27R","Chlorophyll"
