"KO","27L1","27L2","27L3","30L1","30L2","30L3","27R1","27R2","27R3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef"
"IKNINDAA_00010",6.7143,5.6036,4.3074,0,7.2178,6.886,4.0101,4.0305,4.6865,5.3601,6.1154,3.3555,"hypothetical protein","MAG: hypothetical protein DCO99_01120","","","","","hypothetical protein"
"IKNINDAA_00011",9.4001,8.9658,7.5379,10.228,0,8.0337,6.4161,4.7023,7.3645,5.3601,10.192,10.067,"hypothetical protein","MAG: DUF4335 domain-containing protein","DUF4335 domain-containing protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_00026",0,0,0,0,0,0,0,0,3.3475,0,4.0769,2.5166,"hypothetical protein","CPP1-like family protein","","","","","hypothetical protein"
"IKNINDAA_00032",5.3715,7.8451,3.2305,6.8189,3.6089,9.1813,6.4161,6.0458,8.7035,9.3802,18.346,13.422,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_00087",0,4.4829,0,0,0,0,4.0101,4.0305,5.356,4.0201,0,5.0333,"hypothetical protein","MULTISPECIES: DUF3727 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_00090",9.4001,15.69,18.306,3.4095,7.2178,8.0337,7.2181,18.809,17.407,14.74,13.25,17.616,"hypothetical protein","MAG: F420-0:Gamma-glutamyl ligase","F420-0:Gamma-glutamyl ligase","","GO:0016874","ligase activity","hypothetical protein"
"IKNINDAA_00143",8.0572,0,0,0,0,0,0,0,2.678,4.0201,8.1538,0,"Protein Thf1","MAG: photosystem II biogenesis protein Psp29","Protein Thf1","thf1","GO:0010207;GO:0015979","photosystem II assembly;photosynthesis","Protein Thf1"
"IKNINDAA_00173",0,0,0,0,0,0,0,2.687,0,3.3501,3.0577,0,"hypothetical protein","MAG: hypothetical protein DCO99_01915","","","","","hypothetical protein"
"IKNINDAA_00244",4.0286,0,3.2305,0,0,0,0,2.0153,2.678,0,0,0,"hypothetical protein","DUF1995 family protein","","","","","hypothetical protein"
"IKNINDAA_00245",16.114,12.328,13.999,18.752,16.24,16.067,8.0201,11.42,12.051,15.41,15.288,14.261,"hypothetical protein","MAG: hypothetical protein DCO99_02255","DUF4330 domain-containing protein","","GO:0016020","membrane","hypothetical protein"
"IKNINDAA_00255",26.857,51.554,44.151,30.685,28.871,41.316,31.279,38.29,32.805,44.221,51.98,38.588,"hypothetical protein","MAG: hypothetical protein DCO99_02305","","","","","hypothetical protein"
"IKNINDAA_00281",0,0,0,0,0,0,0,4.0305,4.017,2.6801,3.0577,4.1944,"Proton extrusion protein PcxA","proton extrusion protein PcxA","","","GO:0016020","membrane","Proton extrusion protein PcxA"
"IKNINDAA_00410",0,6.7244,7.5379,6.8189,0,4.5907,0,4.0305,0,5.3601,5.0961,4.1944,"hypothetical protein","MAG: hypothetical protein DCO99_03055","","","","","hypothetical protein"
"IKNINDAA_00464",5.3715,5.6036,5.3842,10.228,5.4134,4.5907,11.228,9.4046,11.381,12.06,15.288,13.422,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_00554",0,0,0,0,0,0,0,0,0,0,3.0577,3.3555,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_00574",0,5.6036,3.2305,0,0,0,4.0101,4.0305,4.6865,7.3702,6.1154,4.1944,"hypothetical protein","hypothetical protein","","","GO:0015031","protein transport","hypothetical protein"
