"KO","STN","Pvalue","30L1","30L2","30L3","30R1","30R2","30R3","Query_ID","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","30R1_log","30R2_log","30R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"IKNINDAA_00090",-1.71091525799095,0.00735928143712575,3.4095,7.2178,8.0337,14.74,13.25,17.616,"IKNINDAA_00090","hypothetical protein","MAG: F420-0:Gamma-glutamyl ligase","F420-0:Gamma-glutamyl ligase","","GO:0016874","ligase activity","hypothetical protein",2.14061507564306,3.03875221946647,3.17531700413421,3.97636363573276,3.83289001416474,4.21847121074326,15.202,6.22033333333333,4.00924162021359,2.78489476641458,-1.22434685379901,2.13316458826113,"Downregulated"
"IKNINDAA_00641",-1.63603720689441,0.00847305389221557,0,0,6.886,10.72,9.173,11.744,"IKNINDAA_00641","hypothetical protein","carboxysome shell carbonic anhydrase","","","","","hypothetical protein",0,0,2.97929371044573,3.55090066464752,3.3466732850845,3.67174626686322,10.5456666666667,2.29533333333333,3.52310673886508,0.99309790348191,-2.53000883538317,2.07196003128727,"Downregulated"
"IKNINDAA_01305",-1.8776988769719,0.0057185628742515,0,0,0,6.0301,13.25,6.711,"IKNINDAA_01305","Ferredoxin-thioredoxin reductase, variable chain","MULTISPECIES: ferredoxin-thioredoxin reductase variable chain","Ferredoxin-thioredoxin reductase variable chain","","GO:0015979","photosynthesis","Ferredoxin-thioredoxin reductase, variable chain",0,0,0,2.81354521112967,3.83289001416474,2.94691796798583,8.6637,0,3.19778439776008,0,-3.19778439776008,2.24271309956384,"Downregulated"
"IKNINDAA_02085",-5.0164018497477,0.000745508982035928,0,0,11.477,37.521,36.692,29.361,"IKNINDAA_02085","hypothetical protein","MAG: hypothetical protein DCO99_10055","","","","","hypothetical protein",0,0,3.64119918570543,5.26757325072488,5.23618644371103,4.92414740445766,34.5246666666667,3.82566666666667,5.14263569963119,1.21373306190181,-3.92890263772938,3.12754711971583,"Downregulated"
"IKNINDAA_02111",-1.60757349615901,0.00902844311377246,0,0,3.443,13.4,4.0769,8.3888,"IKNINDAA_02111","hypothetical protein","MAG: hypothetical protein DCO99_10180","","","","","hypothetical protein",0,0,2.15153414134792,3.84799690655495,2.34394784349773,3.23094077612394,8.6219,1.14766666666667,3.14096184205887,0.717178047115972,-2.4237837949429,2.04438713400459,"Downregulated"
"K00281",-1.96627397695615,0.00475,0,0,4.5907,10.72,8.1538,14.261,"IKNINDAA_00913","Glycine dehydrogenase (decarboxylating)","MAG: glycine dehydrogenase (aminomethyl-transferring)","Glycine dehydrogenase     )","gcvP","GO:0019464;GO:0004375;GO:0006544;GO:0006546;GO:0003824","glycine decarboxylation via glycine cleavage system;glycine dehydrogenase (decarboxylating) activity;glycine metabolic process;glycine catabolic process;catalytic activity","glycine dehydrogenase ",0,0,2.48302893124433,3.55090066464752,3.19437077105587,3.9317775949217,11.0449333333333,1.53023333333333,3.5590163435417,0.827676310414777,-2.73134003312692,2.32330639037513,"Downregulated"
"K00367",-1.95177717713714,0.00487874251497006,0,0,0,12.06,4.0769,10.905,"IKNINDAA_00986","Nitrate reductase","MAG: nitrate reductase catalytic subunit","Nitrate reductase catalytic subunit","","GO:0042128;GO:0016491;GO:0043546;GO:0046872;GO:0051539","nitrate assimilation;oxidoreductase activity;molybdopterin cofactor binding;metal ion binding;4 iron, 4 sulfur cluster binding","ferredoxin-nitrate reductase ",0,0,0,3.70708299177171,2.34394784349773,3.57349571549561,9.01396666666667,0,3.20817551692168,0,-3.20817551692168,2.3116921020104,"Downregulated"
"K00548",-2.33821209160438,0.00295359281437126,0,0,6.886,20.77,7.1346,15.1,"IKNINDAA_00258","Methionine synthase","MAG: methionine synthase","Methionine synthase","metH","GO:0009086;GO:0032259;GO:0042558;GO:0008270;GO:0008705;GO:0031419;GO:0044237;GO:0046872","methionine biosynthetic process;methylation;pteridine-containing compound metabolic process;zinc ion binding;methionine synthase activity;cobalamin binding;cellular metabolic process;metal ion binding","5-methyltetrahydrofolate--homocysteine methyltransferase ",0,0,2.97929371044573,4.44426950241348,3.02407140647502,4.00898878322726,14.3348666666667,2.29533333333333,3.82577656403859,0.99309790348191,-2.83267866055668,2.52964937722335,"Downregulated"
"K00688",-2.4999887264093,0.0026002994011976,3.4095,3.6089,10.329,32.1602,9.173,16.7776,"IKNINDAA_00670;IKNINDAA_01088","Maltodextrin phosphorylase","MAG: glycogen phosphorylase","Alpha-1,4 glucan phosphorylase","","GO:0005975;GO:0008184;GO:0030170;GO:0102250;GO:0102499;GO:0004645","carbohydrate metabolic process;glycogen phosphorylase activity;pyridoxal phosphate binding;linear malto-oligosaccharide phosphorylase activity;SHG alpha-glucan phosphorylase activity;1,4-alpha-oligoglucan phosphorylase activity","glycogen phosphorylase ",2.14061507564306,2.20442246564176,3.50194861635368,5.0513808031124,3.3466732850845,4.15198866642251,19.3702666666667,5.78246666666667,4.18334758487314,2.61566205254616,-1.56768553232697,2.58497664402845,"Downregulated"
"K01428",-1.5638960762019,0.00967215568862275,5.1142,3.6089,8.0337,15.41,9.173,15.939,"IKNINDAA_00971","Urease subunit alpha","MAG: urease subunit alpha","Urease subunit alpha","ureC","GO:0043419;GO:0009039;GO:0016151;GO:0005737;GO:0006807;GO:0016787;GO:0016810","urea catabolic process;urease activity;nickel cation binding;cytoplasm;nitrogen compound metabolic process;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","urease subunit alpha ",2.61216374461758,2.20442246564176,3.17531700413421,4.03650333373899,3.3466732850845,4.08227680204714,13.5073333333333,5.5856,3.82181780695688,2.66396773813118,-1.15785006882569,2.01447672143538,"Downregulated"
