category,count,percent,group,strain
Unknown,1,5.882352941,Shared Fe lim,XM-24
Amino acid metabolism,1,5.882352941,Shared Fe lim,XM-24
Cell wall and signaling,1,5.882352941,Shared Fe lim,XM-24
Cofactor,0,0,Shared Fe lim,XM-24
DNA,0,0,Shared Fe lim,XM-24
Energy and redox,1,5.882352941,Shared Fe lim,XM-24
Other metabolites,0,0,Shared Fe lim,XM-24
Photosynthesis,1,5.882352941,Shared Fe lim,XM-24
"Purines, pyrimidines, nucleotides",0,0,Shared Fe lim,XM-24
Regulatory system and stress,1,5.882352941,Shared Fe lim,XM-24
Respiration,2,11.76470588,Shared Fe lim,XM-24
S and N metabolism,2,11.76470588,Shared Fe lim,XM-24
Transcription,1,5.882352941,Shared Fe lim,XM-24
Translation,2,11.76470588,Shared Fe lim,XM-24
Transporters,4,23.52941176,Shared Fe lim,XM-24
Unknown,1,6.666666667,Warm Fe lim,XM-24
Amino acid metabolism,1,6.666666667,Warm Fe lim,XM-24
Cell wall and signaling,1,6.666666667,Warm Fe lim,XM-24
Cofactor,0,0,Warm Fe lim,XM-24
DNA,1,6.666666667,Warm Fe lim,XM-24
Energy and redox,0,0,Warm Fe lim,XM-24
Other metabolites,2,13.33333333,Warm Fe lim,XM-24
Photosynthesis,1,6.666666667,Warm Fe lim,XM-24
"Purines, pyrimidines, nucleotides",2,13.33333333,Warm Fe lim,XM-24
Regulatory system and stress,1,6.666666667,Warm Fe lim,XM-24
Respiration,0,0,Warm Fe lim,XM-24
S and N metabolism,1,6.666666667,Warm Fe lim,XM-24
Transcription,0,0,Warm Fe lim,XM-24
Translation,4,26.66666667,Warm Fe lim,XM-24
Transporters,0,0,Warm Fe lim,XM-24
Unknown,2,7.142857143,Unique interaction,XM-24
Amino acid metabolism,1,3.571428571,Unique interaction,XM-24
Cell wall and signaling,3,10.71428571,Unique interaction,XM-24
Cofactor,2,7.142857143,Unique interaction,XM-24
DNA,0,0,Unique interaction,XM-24
Energy and redox,0,0,Unique interaction,XM-24
Other metabolites,0,0,Unique interaction,XM-24
Photosynthesis,3,10.71428571,Unique interaction,XM-24
"Purines, pyrimidines, nucleotides",2,7.142857143,Unique interaction,XM-24
Regulatory system and stress,2,7.142857143,Unique interaction,XM-24
Respiration,0,0,Unique interaction,XM-24
S and N metabolism,1,3.571428571,Unique interaction,XM-24
Transcription,2,7.142857143,Unique interaction,XM-24
Translation,10,35.71428571,Unique interaction,XM-24
Transporters,0,0,Unique interaction,XM-24
