"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"IKNINDAA_00641",-1.58111355309485,0.00800744047619048,2.6857,6.7244,13.999,10.426,21.496,20.085,"hypothetical protein","carboxysome shell carbonic anhydrase","","","","","hypothetical protein",1.88193864662621,2.94942287468142,3.90679441273299,3.51424852992186,4.49159659441045,4.39814511650441,17.3356666666667,7.80303333333333,4.13466341361224,2.91271864468021,-1.22194476893203,2.09650628100733,"Downregulated"
"IKNINDAA_01164",-1.86023989749271,0.00372172619047619,9.4001,11.207,13.999,23.258,22.168,28.119,"hypothetical protein","MAG: hypothetical protein DCO99_07515","","","","","hypothetical protein",3.37852549525474,3.60963678113278,3.90679441273299,4.60038870433076,4.53406160242112,4.86388890647435,24.515,11.5353666666667,4.66611307107541,3.63165222970684,-1.03446084136857,2.42925558132332,"Downregulated"
"K00228",-1.56892521839101,0.00826488095238095,0,0,2.1537,1.604,8.7328,12.72,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",0,0,1.65704542832837,1.38072944850355,3.28285490932255,3.77820857639809,7.6856,0.7179,2.81393097807473,0.552348476109457,-2.26158250196527,2.08276339763959,"Downregulated"
"K00325",-1.97792080091983,0.00274404761904762,0,16.811,11.845,17.644,24.183,28.119,"NAD(P) transhydrogenase subunit beta","MULTISPECIES: NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta","","","GO:0008750;GO:0050661;GO:0016020","NAD(P)+ transhydrogenase (AB-specific) activity;NADP binding;membrane","H+-translocating NAD(P) transhydrogenase subunit beta ",0,4.15469661382774,3.68313498512609,4.22063951287686,4.65437825353263,4.86388890647435,23.3153333333333,9.552,4.57963555762795,2.61261053298461,-1.96702502464334,2.56160835633621,"Downregulated"
"K00367",-2.44710339262722,0.000915178571428571,0,3.3622,0,6.4161,15.45,18.076,"Nitrate reductase","MAG: nitrate reductase catalytic subunit","Nitrate reductase catalytic subunit","","GO:0042128;GO:0016491;GO:0043546;GO:0046872;GO:0051539","nitrate assimilation;oxidoreductase activity;molybdopterin cofactor binding;metal ion binding;4 iron, 4 sulfur cluster binding","ferredoxin-nitrate reductase ",0,2.12505591679057,0,2.89066069764891,4.04001567884788,4.25368678273227,13.3140333333333,1.12073333333333,3.72812105307635,0.708351972263524,-3.01976908081283,3.03849415727841,"Downregulated"
"K00548",-2.3791004623451,0.00103720238095238,6.7143,6.7244,5.3842,15.238,25.527,21.424,"Methionine synthase","MAG: methionine synthase","Methionine synthase","metH","GO:0009086;GO:0032259;GO:0042558;GO:0008270;GO:0008705;GO:0031419;GO:0044237;GO:0046872","methionine biosynthetic process;methylation;pteridine-containing compound metabolic process;zinc ion binding;methionine synthase activity;cobalamin binding;cellular metabolic process;metal ion binding","5-methyltetrahydrofolate--homocysteine methyltransferase ",2.94753525176087,2.94942287468142,2.67450584806536,4.02130204466611,4.7293896219485,4.48697174437041,20.7296666666667,6.2743,4.41255447032834,2.85715465816922,-1.55539981215912,2.98413649495582,"Downregulated"
"K00688",-2.83505547219244,0.000272321428571429,12.0858,11.207,10.768,20.852,32.2443,44.186,"Maltodextrin phosphorylase","MAG: glycogen phosphorylase","Alpha-1,4 glucan phosphorylase","","GO:0005975;GO:0008184;GO:0030170;GO:0102250;GO:0102499;GO:0004645","carbohydrate metabolic process;glycogen phosphorylase activity;pyridoxal phosphate binding;linear malto-oligosaccharide phosphorylase activity;SHG alpha-glucan phosphorylase activity;1,4-alpha-oligoglucan phosphorylase activity","glycogen phosphorylase ",3.70993022108854,3.60963678113278,3.55679724659274,4.44969342303591,5.05503509515012,5.49780394586443,32.4274333333333,11.3536,5.00084415468348,3.62545474960469,-1.37538940507879,3.5649181833234,"Downregulated"
"K00764",-1.7536054775676,0.0050625,0,0,0,8.0201,10.748,5.356,"Amidophosphoribosyltransferase","MAG: amidophosphoribosyltransferase","Amidophosphoribosyltransferase","purF","GO:0006189;GO:0006541;GO:0009113;GO:0000287;GO:0004044;GO:0051539","'de novo' IMP biosynthetic process;glutamine metabolic process;purine nucleobase biosynthetic process;magnesium ion binding;amidophosphoribosyltransferase activity;4 iron, 4 sulfur cluster binding","amidophosphoribosyltransferase ",0,0,0,3.17314342779378,3.55434326566276,2.66811912468643,8.04136666666667,0,3.13186860604766,0,-3.13186860604766,2.29563496377728,"Downregulated"
"K01139",-1.71741918952891,0.0055922619047619,0,0,0,4.8121,10.076,8.7035,"GTP pyrophosphokinase","MAG: (p)ppGpp synthetase","ppGpp synthetase","","GO:0015969","guanosine tetraphosphate metabolic process","GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase ",0,0,0,2.53905952545234,3.46936505370484,3.27850521347317,7.86386666666667,0,3.09564326421012,0,-3.09564326421012,2.25241249728932,"Downregulated"
"K01647",1.82599816677174,0.00391220238095236,12.086,16.811,16.153,3.2081,4.0305,8.034,"Citrate synthase","MAG: citrate synthase","Citrate synthase","","GO:0006099;GO:0036440;GO:0005737;GO:0046912","tricarboxylic acid cycle;citrate synthase activity;cytoplasm;acyltransferase activity, acyl groups converted into alkyl on transfer","citrate synthase ",3.70995227069982,4.15469661382774,4.10038901569461,2.07316898880082,2.33070180195338,3.17536491377543,5.09086666666667,15.0166666666667,2.52641190150987,3.98834596674072,1.46193406523085,2.40757868694746,"Upregulated"
