Sample,Growth_rate,C_fixation,Fe_P
27L1,0.089882622,0.022129669,9.26098439
27L2,0.065965581,0.018712302,9.754414044
27L3,0.143606801,0.019242339,7.996547912
30L1,0.055436641,0.030112594,8.282143664
30L2,0.040261986,0.030800227,8.863564171
30L3,0.044993911,0.03169523,5.107224496
27R1,0.341028489,0.059252283,19.05531162
27R2,0.333944171,0.061812496,21.28913839
27R3,0.312117737,0.064466594,
30R1,0.2744468,0.042108083,11.73673498
30R2,0.258892666,0.041949677,11.59428174
30R3,0.273279187,0.035822313,9.947597202
