Sample,Growth_rate,C_fixation,Fe_P
27L1,0.170254079,0.034151091,2.884337294
27L2,0.185190029,0.032987657,2.655734047
27L3,0.161017732,0.034204333,2.471733479
30L1,0.133859128,0.033306718,4.921878827
30L2,0.139453895,0.034404432,3.597344434
30L3,0.143636296,0.03353187,4.190751173
27R1,0.313998964,0.078482119,6.549252542
27R2,0.316730383,0.072481493,5.966088933
27R3,0.348228125,0.074285458,6.19104824
30R1,0.21987003,0.067142134,6.247546717
30R2,0.214648106,0.06817993,6.698489377
30R3,0.174823245,0.065727192,5.334101117
