"KO","27L1","27L2","27L3","30L1","30L2","30L3","27R1","27R2","27R3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef"
"K00003",3.5879,0,0,0,0,0,16.957,12.963,17.589,19.246,20.959,15.464,"Homoserine dehydrogenase","homoserine dehydrogenase","Homoserine dehydrogenase","","GO:0009086;GO:0009088;GO:0009097;GO:0004412;GO:0050661;GO:0006520;GO:0016491","methionine biosynthetic process;threonine biosynthetic process;isoleucine biosynthetic process;homoserine dehydrogenase activity;NADP binding;amino acid metabolic process;oxidoreductase activity","homoserine dehydrogenase "
"K00030",17.939,20.577,3.4531,14.783,8.4554,21.474,29.675,29.167,32.979,33.681,34.059,32.033,"Isocitrate dehydrogenase [NADP]","NADP-dependent isocitrate dehydrogenase","","","GO:0006099;GO:0000287;GO:0004450;GO:0051287;GO:0016616","tricarboxylic acid cycle;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","isocitrate dehydrogenase (NAD+) "
"K00033",5.3818,1.7893,0,4.9277,0,0,16.957,14.043,19.787,9.6231,20.086,9.9412,"6-phosphogluconate dehydrogenase, decarboxylating","NADP-dependent phosphogluconate dehydrogenase","","","GO:0006098;GO:0004616;GO:0050661;GO:0016491","pentose-phosphate shunt;phosphogluconate dehydrogenase (decarboxylating) activity;NADP binding;oxidoreductase activity","6-phosphogluconate dehydrogenase "
"K00036",14.351,11.63,0,8.8698,0,17.569,19.077,10.803,17.589,9.6231,17.466,11.046,"Glucose-6-phosphate 1-dehydrogenase 2","glucose-6-phosphate dehydrogenase","Glucose-6-phosphate 1-dehydrogenase","zwf","GO:0006006;GO:0006098;GO:0004345;GO:0050661;GO:0016614","glucose metabolic process;pentose-phosphate shunt;glucose-6-phosphate dehydrogenase activity;NADP binding;oxidoreductase activity, acting on CH-OH group of donors","glucose-6-phosphate 1-dehydrogenase "
"K00052",3.5879,0,0,0,0,0,13.778,17.284,13.192,17.322,16.593,17.673,"3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","","","GO:0009098;GO:0000287;GO:0003862;GO:0051287;GO:0016616","leucine biosynthetic process;magnesium ion binding;3-isopropylmalate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3-isopropylmalate dehydrogenase "
"K00053",17.939,16.998,14.964,16.754,18.119,16.593,42.393,48.612,43.972,52.927,51.525,44.183,"Ketol-acid reductoisomerase (NADP(+))","ketol-acid reductoisomerase","","","GO:0009082;GO:0004455;GO:0050661;GO:0016491","branched-chain amino acid biosynthetic process;ketol-acid reductoisomerase activity;NADP binding;oxidoreductase activity","ketol-acid reductoisomerase "
"K00058",42.157,40.259,25.323,26.61,32.614,34.162,58.29,51.853,56.064,55.814,52.398,57.438,"D-3-phosphoglycerate dehydrogenase","phosphoglycerate dehydrogenase","","","GO:0006564;GO:0004617;GO:0051287;GO:0016616","L-serine biosynthetic process;phosphoglycerate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase "
"K00059",8.0727,8.0518,0,0,0,0,11.658,12.963,9.8937,12.51,13.099,15.464,"3-oxoacyl-[acyl-carrier-protein] reductase","3-oxoacyl-[acyl-carrier-protein] reductase","","","GO:0006633;GO:0004316;GO:0051287;GO:0016491","fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NAD binding;oxidoreductase activity","3-oxoacyl- reductase "
"K00067",0,0,0,0,0,0,3.1795,3.2408,0,2.8869,3.4932,0,"dTDP-4-dehydrorhamnose reductase","dTDP-4-dehydrorhamnose reductase","","","","","dTDP-4-dehydrorhamnose reductase "
"K00088",30.497,30.418,18.417,35.479,33.822,42.947,62.53,57.254,65.958,64.475,63.751,61.856,"putative oxidoreductase/MSMEI_1564","GuaB3 family IMP dehydrogenase-related protein","GuaB3 family IMP dehydrogenase-related protein","","GO:0006164;GO:0003938;GO:0003824;GO:0016491","purine nucleotide biosynthetic process;IMP dehydrogenase activity;catalytic activity;oxidoreductase activity","IMP dehydrogenase "
"K00091",0,0,0,0,0,0,6.3589,5.4013,4.3972,5.7738,6.1131,5.5229,"2-alkyl-3-oxoalkanoate reductase","NAD(P)-dependent oxidoreductase","","","","","dihydroflavonol-4-reductase "
"K00099",0,0,0,0,0,0,4.2393,4.3211,0,3.8492,4.3665,2.2092,"1-deoxy-D-xylulose 5-phosphate reductoisomerase","1-deoxy-D-xylulose-5-phosphate reductoisomerase","","","GO:0008299;GO:0005515;GO:0030604;GO:0046872;GO:0070402","isoprenoid biosynthetic process;protein binding;1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;metal ion binding;NADPH binding","1-deoxy-D-xylulose-5-phosphate reductoisomerase "
"K00133",17.939,16.998,9.2084,13.798,8.4554,22.45,16.957,18.365,16.489,25.982,26.199,19.882,"Aspartate-semialdehyde dehydrogenase","aspartate-semialdehyde dehydrogenase","","","GO:0009086;GO:0009088;GO:0009089;GO:0009097;GO:0004073;GO:0046983;GO:0050661;GO:0051287;GO:0008652;GO:0016620","methionine biosynthetic process;threonine biosynthetic process;lysine biosynthetic process via diaminopimelate;isoleucine biosynthetic process;aspartate-semialdehyde dehydrogenase activity;protein dimerization activity;NADP binding;NAD binding;amino acid biosynthetic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","aspartate-semialdehyde dehydrogenase "
"K00134",112.12,113.62,123.16,100.52,103.88,115.18,84.786,84.261,95.639,81.796,72.484,89.471,"Glyceraldehyde-3-phosphate dehydrogenase 2","MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase","","","GO:0006006;GO:0016620;GO:0050661;GO:0051287","glucose metabolic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) "
"K00145",0,0,0,0,0,0,6.3589,5.4013,3.2979,3.8492,5.2398,3.3137,"N-acetyl-gamma-glutamyl-phosphate reductase","N-acetyl-gamma-glutamyl-phosphate reductase","N-acetyl-gamma-glutamyl-phosphate reductase","argC","GO:0006526;GO:0003942;GO:0046983;GO:0051287;GO:0005737;GO:0008652;GO:0016620","arginine biosynthetic process;N-acetyl-gamma-glutamyl-phosphate reductase activity;protein dimerization activity;NAD binding;cytoplasm;amino acid biosynthetic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","N-acetyl-gamma-glutamyl-phosphate reductase "
"K00147",0,0,0,0,0,0,7.4188,6.4816,10.993,8.6608,7.8597,3.3137,"Gamma-glutamyl phosphate reductase","glutamate-5-semialdehyde dehydrogenase","Gamma-glutamyl phosphate reductase","proA","GO:0055129;GO:0004350;GO:0050661;GO:0005737;GO:0006561;GO:0016491;GO:0016620","L-proline biosynthetic process;glutamate-5-semialdehyde dehydrogenase activity;NADP binding;cytoplasm;proline biosynthetic process;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","glutamate-5-semialdehyde dehydrogenase "
