"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K02637","cytochrome b6-f complex subunit 4","MULTISPECIES: cytochrome b6-f complex subunit IV","Increased",4.602,8e-04,"Photosynthesis"
"K02012","iron(III) Transporters system substrate-binding protein","extracellular solute-binding protein","Increased",4.122,0,"Transporters"
"K07267","porin","iron uptake porin;MAG: porin","Increased",2.819,0,"Transporters"
"K09807","uncharacterized protein","SIMPL domain-containing protein","Increased",1.637,0.0078,"Unknown"
"K19220","peptidoglycan DL-endopeptidase CwlS ","iron uptake porin","Increased",1.632,0,"Transporters"
"K21010","polysaccharide biosynthesis protein PelE","HEAT repeat domain-containing protein","Increased",1.593,0.0057,"Cell wall and signaling"
"K00940","nucleoside-diphosphate kinase ","MULTISPECIES: nucleoside-diphosphate kinase","Increased",1.499,4e-04,"Purines, pyrimidines, nucleotides"
"K01772","protoporphyrin/coproporphyrin ferrochelatase ","ferrochelatase","Increased",1.487,0.0011,"Cofactor"
"K05380","phycoerythrin-associated linker protein","phycobilisome rod-core linker polypeptide","Increased",1.448,0,"Photosynthesis"
"LKDHAOIP_02385","hypothetical protein","hypothetical protein","Increased",1.432,4e-04,"Unknown"
"K03530","DNA-binding protein HU-beta","MULTISPECIES: HU family DNA-binding protein","Increased",1.408,5e-04,"Regulatory system and stress"
"K02109","F-type H+-Transportersing ATPase subunit b","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'","Increased",1.175,0.0012,"Photosynthesis"
"LKDHAOIP_01859","hypothetical protein","alpha/beta hydrolase","Increased",1.126,2e-04,"Unknown"
"LKDHAOIP_02547","hypothetical protein","hypothetical protein","Increased",1.121,0.0059,"Unknown"
"K02838","ribosome recycling factor","ribosome recycling factor","Increased",1.059,0.0019,"Translation"
"K06378","stage II sporulation protein AA (anti-sigma F factor antagonist)","MULTISPECIES: STAS domain-containing protein","Increased",1.039,0.0042,"Unknown"
"K09667","protein O-GlcNAc transferase ","tetratricopeptide repeat protein;glycosyltransferase","Decreased",-5.0822,2e-04,"Translation"
"K01599","uroporphyrinogen decarboxylase ","uroporphyrinogen decarboxylase","Decreased",-4.8217,4e-04,"Photosynthesis"
"K12574","ribonuclease J ","RNase J family beta-CASP ribonuclease","Decreased",-4.4731,0.0011,"Transcription"
"K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase ","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","Decreased",-4.3634,3e-04,"Purines, pyrimidines, nucleotides"
"K12573","ribonuclease R ","RNB domain-containing ribonuclease","Decreased",-4.3568,0.0015,"Transcription"
"K02994","small subunit ribosomal protein S8","MULTISPECIES: 30S ribosomal protein S8","Decreased",-4.2437,0.0018,"Translation"
"LKDHAOIP_01514","hypothetical protein","IMS domain-containing protein","Decreased",-4.2315,4e-04,"Unknown"
"K10960","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ","geranylgeranyl reductase","Decreased",-4.1695,0.0021,"Photosynthesis"
"K02338","DNApolymerase III subunit beta ","DNApolymerase III subunit beta","Decreased",-4.1495,0.0022,"DNA"
"K01595","phosphoenolpyruvate carboxylase ","phosphoenolpyruvate carboxylase","Decreased",-4.1251,6e-04,"Respiration"
"K01939","adenylosuccinate synthase ","adenylosuccinate synthase","Decreased",-4.1162,0.0024,"Purines, pyrimidines, nucleotides"
"K02720","photosystem II cytochrome c550","photosystem II cytochrome c-550","Decreased",-4.0374,0.0033,"Photosynthesis"
"LKDHAOIP_02179","hypothetical protein","hypothetical protein","Decreased",-3.9336,0.0041,"Unknown"
"LKDHAOIP_00219","hypothetical protein","MULTISPECIES: hypothetical protein","Decreased",-3.9078,0.0043,"Unknown"
"K22405","NADH oxidase (H2O-forming) ","flavin reductase","Decreased",-3.9031,0.0043,"Energy and redox"
"K04079","molecular chaperone HtpG","molecular chaperone HtpG","Decreased",-3.8604,0.0048,"Regulatory system and stress"
"K02890","large subunit ribosomal protein L22","50S ribosomal protein L22","Decreased",-3.8053,0.0054,"Translation"
"K00873","pyruvate kinase ","pyruvate kinase","Decreased",-3.764,0.006,"Respiration"
"K01682","aconitate hydratase 2 / 2-methylisocitrate dehydratase ","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Decreased",-3.7577,0.006,"Respiration"
"K18855","UDP-N-acetylglucosamine 3-dehydrogenase ","Gfo/Idh/MocA family oxidoreductase","Decreased",-3.7221,0.0064,"Cell wall and signaling"
"K01696","tryptophan synthase beta chain ","tryptophan synthase subunit beta","Decreased",-3.722,0.0064,"Amino acid metabolism"
"K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase ","NDP-sugar synthase","Decreased",-3.722,0.0064,"Other metabolites"
"K18886","gibberellin A4 carboxyl methyltransferase ","class I SAM-dependent methyltransferase","Decreased",-3.722,0.0064,"Translation"
"K03687","molecular chaperone GrpE","nucleotide exchange factor GrpE","Decreased",-3.719,0.0064,"Regulatory system and stress"
"K02519","translation initiation factor IF-2","translation initiation factor IF-2","Decreased",-3.7026,4e-04,"Translation"
"K06207","GTP-binding protein","translational GTPase TypA","Decreased",-3.7022,0.0019,"Cell wall and signaling"
"K05579","NAD(P)H-quinone oxidoreductase subunit H ","NAD(P)H-quinone oxidoreductase subunit H","Decreased",-3.6696,0.0016,"Energy and redox"
"K01586","diaminopimelate decarboxylase ","diaminopimelate decarboxylase","Decreased",-3.6024,0.0087,"Amino acid metabolism"
"K01868","threonyl-tRNA synthetase ","threonine--tRNA ligase","Decreased",-3.5564,0.0094,"Translation"
"K00392","sulfite reductase (ferredoxin) ","MAG: sulfite reductase subunit beta","Decreased",-3.5526,0.0019,"S and N metabolism"
"K05520","protease I ","DJ-1/PfpI family protein","Decreased",-3.538,0.0087,"Translation"
