category,count,percent,group,strain
Unknown,9,8.256880734,27L vs 27R,YX04-1
Amino acid metabolism,11,10.09174312,27L vs 27R,YX04-1
Cell wall and signaling,7,6.422018349,27L vs 27R,YX04-1
Cofactor,1,0.917431193,27L vs 27R,YX04-1
DNA,4,3.669724771,27L vs 27R,YX04-1
Energy and redox,4,3.669724771,27L vs 27R,YX04-1
Other metabolites,2,1.834862385,27L vs 27R,YX04-1
Photosynthesis,12,11.00917431,27L vs 27R,YX04-1
"Purines, pyrimidines, nucleotides",9,8.256880734,27L vs 27R,YX04-1
Regulatory system and stress,9,8.256880734,27L vs 27R,YX04-1
Respiration,11,10.09174312,27L vs 27R,YX04-1
S and N metabolism,3,2.752293578,27L vs 27R,YX04-1
Transcription,5,4.587155963,27L vs 27R,YX04-1
Translation,19,17.43119266,27L vs 27R,YX04-1
Transporters,3,2.752293578,27L vs 27R,YX04-1
Unknown,18,10.11235955,30L vs 30R,YX04-1
Amino acid metabolism,18,10.11235955,30L vs 30R,YX04-1
Cell wall and signaling,20,11.23595506,30L vs 30R,YX04-1
Cofactor,1,0.561797753,30L vs 30R,YX04-1
DNA,4,2.247191011,30L vs 30R,YX04-1
Energy and redox,6,3.370786517,30L vs 30R,YX04-1
Other metabolites,3,1.685393258,30L vs 30R,YX04-1
Photosynthesis,23,12.92134831,30L vs 30R,YX04-1
"Purines, pyrimidines, nucleotides",14,7.865168539,30L vs 30R,YX04-1
Regulatory system and stress,13,7.303370787,30L vs 30R,YX04-1
Respiration,14,7.865168539,30L vs 30R,YX04-1
S and N metabolism,7,3.93258427,30L vs 30R,YX04-1
Transcription,8,4.494382022,30L vs 30R,YX04-1
Translation,24,13.48314607,30L vs 30R,YX04-1
Transporters,5,2.808988764,30L vs 30R,YX04-1
Unknown,16,9.467455621,30L vs 27R,YX04-1
Amino acid metabolism,18,10.65088757,30L vs 27R,YX04-1
Cell wall and signaling,17,10.0591716,30L vs 27R,YX04-1
Cofactor,0,0,30L vs 27R,YX04-1
DNA,4,2.366863905,30L vs 27R,YX04-1
Energy and redox,5,2.958579882,30L vs 27R,YX04-1
Other metabolites,2,1.183431953,30L vs 27R,YX04-1
Photosynthesis,21,12.4260355,30L vs 27R,YX04-1
"Purines, pyrimidines, nucleotides",12,7.100591716,30L vs 27R,YX04-1
Regulatory system and stress,14,8.284023669,30L vs 27R,YX04-1
Respiration,14,8.284023669,30L vs 27R,YX04-1
S and N metabolism,7,4.142011834,30L vs 27R,YX04-1
Transcription,7,4.142011834,30L vs 27R,YX04-1
Translation,28,16.56804734,30L vs 27R,YX04-1
Transporters,4,2.366863905,30L vs 27R,YX04-1
Unknown,1,25,30R vs 27R,YX04-1
Amino acid metabolism,0,0,30R vs 27R,YX04-1
Cell wall and signaling,0,0,30R vs 27R,YX04-1
Cofactor,0,0,30R vs 27R,YX04-1
DNA,0,0,30R vs 27R,YX04-1
Energy and redox,0,0,30R vs 27R,YX04-1
Other metabolites,0,0,30R vs 27R,YX04-1
Photosynthesis,1,25,30R vs 27R,YX04-1
"Purines, pyrimidines, nucleotides",0,0,30R vs 27R,YX04-1
Regulatory system and stress,0,0,30R vs 27R,YX04-1
Respiration,0,0,30R vs 27R,YX04-1
S and N metabolism,0,0,30R vs 27R,YX04-1
Transcription,0,0,30R vs 27R,YX04-1
Translation,2,50,30R vs 27R,YX04-1
Transporters,0,0,30R vs 27R,YX04-1
Unknown,2,16.66666667,30L vs 27L,YX04-1
Amino acid metabolism,2,16.66666667,30L vs 27L,YX04-1
Cell wall and signaling,1,8.333333333,30L vs 27L,YX04-1
Cofactor,0,0,30L vs 27L,YX04-1
DNA,0,0,30L vs 27L,YX04-1
Energy and redox,0,0,30L vs 27L,YX04-1
Other metabolites,0,0,30L vs 27L,YX04-1
Photosynthesis,0,0,30L vs 27L,YX04-1
"Purines, pyrimidines, nucleotides",1,8.333333333,30L vs 27L,YX04-1
Regulatory system and stress,3,25,30L vs 27L,YX04-1
Respiration,1,8.333333333,30L vs 27L,YX04-1
S and N metabolism,0,0,30L vs 27L,YX04-1
Transcription,0,0,30L vs 27L,YX04-1
Translation,2,16.66666667,30L vs 27L,YX04-1
Transporters,0,0,30L vs 27L,YX04-1
