"KO","STN","Pvalue","30L1","30L2","30L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K00940",3.383591029,0.000370675,69.973,38.653,52.708,21.196,22.686,19.787,"Nucleoside diphosphate kinase","MULTISPECIES: nucleoside-diphosphate kinase","Nucleoside diphosphate kinase","ndk","GO:0006099;GO:0006165;GO:0006183;GO:0006228;GO:0006241;GO:0004550;GO:0005524;GO:0046872;GO:0005737","tricarboxylic acid cycle;nucleoside diphosphate phosphorylation;GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;nucleoside diphosphate kinase activity;ATP binding;metal ion binding;cytoplasm","nucleoside-diphosphate kinase ",6.149198385,5.309358114,5.747065094,4.472227803,4.565962677,4.377609657,21.223,53.778,4.471933379,5.735207197,1.263273818,3.431006173,"Upregulated","Energy and redox"
"K02012",18.90253743,1e-06,276.94,231.92,293.8,18.017,20.525,15.39,"Iron deficiency-induced protein A","extracellular solute-binding protein","","","","","iron(III) transport system substrate-binding protein",8.118629666,7.863690714,8.203592714,4.249217769,4.427941333,4.034743949,17.97733333,267.5533333,4.237301017,8.061971031,3.824670014,6,"Upregulated","Transport"
"K02109",4.247101535,5.43657e-05,65.046,78.514,60.516,23.316,27.007,23.085,"ATP synthase subunit b;ATP synthase subunit b'","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'",";ATP synthase subunit b'  sector subunit b')",";atpG","GO:0015986;GO:0015078;GO:0045263;GO:1902600;GO:0046933;GO:0031676;GO:0016021","proton motive force-driven ATP synthesis;proton transmembrane transporter activity;proton-transporting ATP synthase complex, coupling factor F(o);proton transmembrane transport;proton-transporting ATP synthase activity, rotational mechanism;plasma membrane-derived thylakoid membrane;integral component of membrane","F-type H+-transporting ATPase subunit b",6.045399284,6.313136992,5.942889792,4.603834019,4.807715551,4.590063019,24.46933333,68.02533333,4.667204196,6.100475356,1.43327116,4.264674751,"Upregulated","Transport"
"K02637",3.647172598,0.000123558,28.581,24.158,20.497,0,0,0,"Cytochrome b6-f complex subunit 4","MULTISPECIES: cytochrome b6-f complex subunit IV","Cytochrome b6-f complex subunit 4","petD","GO:0009767;GO:0045156;GO:0045158;GO:0031676;GO:0009055;GO:0016491;GO:0016020;GO:0042651;GO:0016021","photosynthetic electron transport chain;electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity;electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;plasma membrane-derived thylakoid membrane;electron transfer activity;oxidoreductase activity;membrane;thylakoid membrane;integral component of membrane","cytochrome b6-f complex subunit 4",4.886598919,4.652945331,4.426063434,0,0,0,0,24.412,0,4.655202561,4.655202561,3.908127428,"Upregulated","Photosynthesis and chlorophyll"
"K02639",3.483497681,0.000321252,41.393,62.812,46.851,16.9576,20.525,16.489,"Ferredoxin-1;Ferredoxin","2Fe-2S iron-sulfur cluster-binding protein;MULTISPECIES: 2Fe-2S iron-sulfur cluster-binding protein",";Ferredoxin",";petF4","GO:0051536;GO:0022900;GO:0009055;GO:0046872;GO:0051537","iron-sulfur cluster binding;electron transport chain;electron transfer activity;metal ion binding;2 iron, 2 sulfur cluster binding","ferredoxin",5.405754159,5.995755847,5.58047717,4.166522644,4.427941333,4.128375895,17.99053333,50.352,4.240946624,5.660662392,1.419715768,3.49315408,"Upregulated","Photosynthesis and chlorophyll"
"K02705",4.040017244,5.43657e-05,90.67,101.47,81.99,44.513,45.371,41.773,"Photosystem II CP43 reaction center protein","photosystem II reaction center protein CP43","","","GO:0009772;GO:0016168;GO:0045156;GO:0009523;GO:0009767;GO:0015979;GO:0019684;GO:0009521;GO:0016020","photosynthetic electron transport in photosystem II;chlorophyll binding;electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity;photosystem II;photosynthetic electron transport chain;photosynthesis;photosynthesis, light reaction;photosystem;membrane","photosystem II CP43 chlorophyll apoprotein",6.518377768,6.679057785,6.374865602,5.50820678,5.535150934,5.418628493,43.88566667,91.37666667,5.487328736,6.524100385,1.03677165,4.264674751,"Upregulated","Photosynthesis and chlorophyll"
"K02838",3.264629924,0.000382208,55.19,56.772,55.636,26.496,20.525,24.184,"Ribosome-recycling factor","ribosome recycling factor","","","GO:0006412","translation","ribosome recycling factor",5.812241495,5.852298535,5.823647471,4.781149852,4.427941333,4.654435541,23.735,55.866,4.621175575,5.829395834,1.208220259,3.417700706,"Upregulated","Translation"
"K02902",2.50540398,0.000479407,24.638,28.99,25.378,8.4786,6.4816,8.7944,"50S ribosomal protein L28","50S ribosomal protein L28","","","GO:0006412;GO:0003735;GO:0005840","translation;structural constituent of ribosome;ribosome","large subunit ribosomal protein L28",4.680211818,4.906409617,4.721263277,3.244673987,2.903346835,3.291957116,7.9182,26.33533333,3.146659313,4.769294904,1.622635591,3.319295702,"Upregulated","Translation"
"K02935",4.451372664,5.43657e-05,69.973,91.802,72.229,29.675,31.328,28.582,"50S ribosomal protein L7/L12","MULTISPECIES: 50S ribosomal protein L7/L12","","","GO:0006412;GO:0003735;GO:0005840","translation;structural constituent of ribosome;ribosome","large subunit ribosomal protein L7/L12",6.149198385,6.536083992,6.19434319,4.938991439,5.014712352,4.886647689,29.86166667,78.00133333,4.946783827,6.293208522,1.346424696,4.264674751,"Upregulated","Translation"
"K02965",1.794252964,0.002873147,24.638,30.198,22.45,11.658,11.883,12.092,"30S ribosomal protein S19","MULTISPECIES: 30S ribosomal protein S19","30S ribosomal protein S19","rpsS","GO:0006412;GO:0003735;GO:0019843;GO:0005737;GO:0015935;GO:0003723;GO:0005840","translation;structural constituent of ribosome;rRNA binding;cytoplasm;small ribosomal subunit;RNA binding;ribosome","small subunit ribosomal protein S19",4.680211818,4.963381641,4.551516018,3.661977568,3.687396681,3.710613602,11.87766667,25.762,3.686662617,4.731703159,1.045040542,2.54164221,"Upregulated","Translation"
